,month,metric_total,topic_id,metric
12,2020_09_01,1631.0,3,new_buyers
13,2020_10_01,1328.0,3,new_buyers
14,2020_11_01,1334.0,3,new_buyers
15,2020_12_01,94.0,3,new_buyers
16,,0.0,3,new_buyers
0,2019_09_01,2.0,3,total_buyers
1,2019_10_01,5.0,3,total_buyers
2,2019_11_01,5.0,3,total_buyers
3,2019_12_01,6.0,3,total_buyers
4,2020_01_01,13.0,3,total_buyers
5,2020_02_01,13.0,3,total_buyers
6,2020_03_01,200.0,3,total_buyers
7,2020_04_01,421.0,3,total_buyers
8,2020_05_01,713.0,3,total_buyers
9,2020_06_01,965.0,3,total_buyers
10,2020_07_01,1551.0,3,total_buyers
11,2020_08_01,2447.0,3,total_buyers
12,2020_09_01,2311.0,3,total_buyers
13,2020_10_01,2432.0,3,total_buyers
14,2020_11_01,2633.0,3,total_buyers
15,2020_12_01,93.0,3,total_buyers
16,,58.0,3,total_buyers
0,2019_09_01,14.0,3,bookings
1,2019_10_01,35.0,3,bookings
2,2019_11_01,43.0,3,bookings
3,2019_12_01,43.0,3,bookings
4,2020_01_01,103.0,3,bookings
5,2020_02_01,128.0,3,bookings
6,2020_03_01,2775.0,3,bookings
7,2020_04_01,13158.0,3,bookings
8,2020_05_01,32928.0,3,bookings
9,2020_06_01,49831.0,3,bookings
10,2020_07_01,74358.0,3,bookings
11,2020_08_01,129151.0,3,bookings
12,2020_09_01,154170.0,3,bookings
13,2020_10_01,177616.0,3,bookings
14,2020_11_01,215665.0,3,bookings
15,2020_12_01,2824.0,3,bookings
16,,,3,bookings
0,2019_09_01,1.0,3,activities_created
1,2019_10_01,1.0,3,activities_created
2,2019_11_01,1.0,3,activities_created
3,2020_03_01,9.0,3,activities_created
4,2020_04_01,21.0,3,activities_created
5,2020_05_01,46.0,3,activities_created
6,2020_06_01,63.0,3,activities_created
7,2020_07_01,83.0,3,activities_created
8,2020_08_01,118.0,3,activities_created
9,2020_09_01,91.0,3,activities_created
10,2020_10_01,38.0,3,activities_created
11,2020_11_01,28.0,3,activities_created
0,2019_09_01,1.0,3,total_sellers
1,2019_10_01,1.0,3,total_sellers
2,2019_11_01,2.0,3,total_sellers
3,2019_12_01,2.0,3,total_sellers
4,2020_01_01,2.0,3,total_sellers
5,2020_02_01,2.0,3,total_sellers
6,2020_03_01,6.0,3,total_sellers
7,2020_04_01,16.0,3,total_sellers
8,2020_05_01,29.0,3,total_sellers
9,2020_06_01,56.0,3,total_sellers
10,2020_07_01,89.0,3,total_sellers
11,2020_08_01,136.0,3,total_sellers
12,2020_09_01,148.0,3,total_sellers
13,2020_10_01,156.0,3,total_sellers
14,2020_11_01,163.0,3,total_sellers
15,2020_12_01,55.0,3,total_sellers
16,,321.0,3,total_sellers
0,2019-01-01,8.0,4,total_enrollments
1,2019-02-01,2.0,4,total_enrollments
2,2019-03-01,7.0,4,total_enrollments
3,2019-04-01,1.0,4,total_enrollments
4,2019-05-01,3.0,4,total_enrollments
5,2019-06-01,12.0,4,total_enrollments
6,2019-07-01,3.0,4,total_enrollments
7,2019-08-01,11.0,4,total_enrollments
8,2019-09-01,7.0,4,total_enrollments
9,2019-10-01,7.0,4,total_enrollments
10,2019-11-01,7.0,4,total_enrollments
11,2019-12-01,5.0,4,total_enrollments
12,2020-01-01,20.0,4,total_enrollments
13,2020-02-01,23.0,4,total_enrollments
14,2020-03-01,128.0,4,total_enrollments
15,2020-04-01,339.0,4,total_enrollments
16,2020-05-01,667.0,4,total_enrollments
17,2020-06-01,1365.0,4,total_enrollments
18,2020-07-01,1816.0,4,total_enrollments
19,2020-08-01,1110.0,4,total_enrollments
20,2020-09-01,546.0,4,total_enrollments
21,2020-10-01,359.0,4,total_enrollments
22,2020-11-01,369.0,4,total_enrollments
23,2020-12-01,26.0,4,total_enrollments
24,,0.0,4,total_enrollments
0,2019_01_01,5.0,4,new_buyers
1,2019_02_01,2.0,4,new_buyers
2,2019_03_01,4.0,4,new_buyers
3,2019_04_01,1.0,4,new_buyers
4,2019_05_01,3.0,4,new_buyers
5,2019_06_01,11.0,4,new_buyers
6,2019_07_01,2.0,4,new_buyers
7,2019_08_01,10.0,4,new_buyers
8,2019_09_01,6.0,4,new_buyers
9,2019_10_01,7.0,4,new_buyers
10,2019_11_01,6.0,4,new_buyers
11,2019_12_01,5.0,4,new_buyers
12,2020_01_01,18.0,4,new_buyers
13,2020_02_01,21.0,4,new_buyers
14,2020_03_01,115.0,4,new_buyers
15,2020_04_01,283.0,4,new_buyers
16,2020_05_01,549.0,4,new_buyers
17,2020_06_01,1142.0,4,new_buyers
18,2020_07_01,1400.0,4,new_buyers
19,2020_08_01,844.0,4,new_buyers
20,2020_09_01,443.0,4,new_buyers
21,2020_10_01,300.0,4,new_buyers
22,2020_11_01,316.0,4,new_buyers
23,2020_12_01,25.0,4,new_buyers
24,,0.0,4,new_buyers
0,2019_01_01,5.0,4,total_buyers
1,2019_02_01,3.0,4,total_buyers
2,2019_03_01,4.0,4,total_buyers
3,2019_04_01,1.0,4,total_buyers
4,2019_05_01,3.0,4,total_buyers
5,2019_06_01,12.0,4,total_buyers
6,2019_07_01,6.0,4,total_buyers
7,2019_08_01,12.0,4,total_buyers
8,2019_09_01,6.0,4,total_buyers
9,2019_10_01,7.0,4,total_buyers
10,2019_11_01,8.0,4,total_buyers
11,2019_12_01,8.0,4,total_buyers
12,2020_01_01,18.0,4,total_buyers
13,2020_02_01,25.0,4,total_buyers
14,2020_03_01,125.0,4,total_buyers
15,2020_04_01,297.0,4,total_buyers
16,2020_05_01,585.0,4,total_buyers
17,2020_06_01,1254.0,4,total_buyers
18,2020_07_01,1590.0,4,total_buyers
19,2020_08_01,1040.0,4,total_buyers
20,2020_09_01,555.0,4,total_buyers
21,2020_10_01,431.0,4,total_buyers
22,2020_11_01,468.0,4,total_buyers
23,2020_12_01,25.0,4,total_buyers
24,,19.0,4,total_buyers
0,2019_01_01,276.0,4,bookings
1,2019_02_01,32.0,4,bookings
2,2019_03_01,219.0,4,bookings
3,2019_04_01,12.0,4,bookings
4,2019_05_01,75.0,4,bookings
5,2019_06_01,363.0,4,bookings
6,2019_07_01,168.0,4,bookings
7,2019_08_01,423.0,4,bookings
8,2019_09_01,168.0,4,bookings
9,2019_10_01,207.0,4,bookings
10,2019_11_01,264.0,4,bookings
11,2019_12_01,195.0,4,bookings
12,2020_01_01,732.0,4,bookings
13,2020_02_01,1048.0,4,bookings
14,2020_03_01,4894.0,4,bookings
15,2020_04_01,7987.0,4,bookings
16,2020_05_01,19087.0,4,bookings
17,2020_06_01,45260.0,4,bookings
18,2020_07_01,56513.0,4,bookings
19,2020_08_01,42841.0,4,bookings
20,2020_09_01,20460.0,4,bookings
21,2020_10_01,16902.0,4,bookings
22,2020_11_01,19016.0,4,bookings
23,2020_12_01,649.0,4,bookings
24,,,4,bookings
0,2019_01_01,1.0,4,activities_created
1,2019_04_01,2.0,4,activities_created
2,2019_05_01,1.0,4,activities_created
3,2019_12_01,1.0,4,activities_created
4,2020_01_01,3.0,4,activities_created
5,2020_02_01,1.0,4,activities_created
6,2020_03_01,13.0,4,activities_created
7,2020_04_01,42.0,4,activities_created
8,2020_05_01,53.0,4,activities_created
9,2020_06_01,99.0,4,activities_created
10,2020_07_01,123.0,4,activities_created
11,2020_08_01,81.0,4,activities_created
12,2020_09_01,58.0,4,activities_created
13,2020_10_01,12.0,4,activities_created
14,2020_11_01,3.0,4,activities_created
0,2019_01_01,2.0,4,total_sellers
1,2019_02_01,3.0,4,total_sellers
2,2019_03_01,2.0,4,total_sellers
3,2019_04_01,1.0,4,total_sellers
4,2019_05_01,2.0,4,total_sellers
5,2019_06_01,3.0,4,total_sellers
6,2019_07_01,2.0,4,total_sellers
7,2019_08_01,3.0,4,total_sellers
8,2019_09_01,4.0,4,total_sellers
9,2019_10_01,2.0,4,total_sellers
10,2019_11_01,2.0,4,total_sellers
11,2019_12_01,3.0,4,total_sellers
12,2020_01_01,3.0,4,total_sellers
13,2020_02_01,6.0,4,total_sellers
14,2020_03_01,11.0,4,total_sellers
15,2020_04_01,25.0,4,total_sellers
16,2020_05_01,40.0,4,total_sellers
17,2020_06_01,65.0,4,total_sellers
18,2020_07_01,90.0,4,total_sellers
19,2020_08_01,99.0,4,total_sellers
20,2020_09_01,87.0,4,total_sellers
21,2020_10_01,74.0,4,total_sellers
22,2020_11_01,51.0,4,total_sellers
23,2020_12_01,17.0,4,total_sellers
24,,232.0,4,total_sellers
0,2019-01-01,8.0,5,total_enrollments
1,2019-02-01,7.0,5,total_enrollments
2,2019-03-01,18.0,5,total_enrollments
3,2019-04-01,26.0,5,total_enrollments
4,2019-05-01,35.0,5,total_enrollments
5,2019-06-01,12.0,5,total_enrollments
6,2019-07-01,29.0,5,total_enrollments
7,2019-08-01,38.0,5,total_enrollments
8,2019-09-01,17.0,5,total_enrollments
9,2019-10-01,12.0,5,total_enrollments
10,2019-11-01,11.0,5,total_enrollments
11,2019-12-01,36.0,5,total_enrollments
12,2020-01-01,37.0,5,total_enrollments
13,2020-02-01,45.0,5,total_enrollments
14,2020-03-01,475.0,5,total_enrollments
15,2020-04-01,705.0,5,total_enrollments
16,2020-05-01,926.0,5,total_enrollments
17,2020-06-01,2172.0,5,total_enrollments
18,2020-07-01,1853.0,5,total_enrollments
